id,name,website,linkedin_url,description,sectors,location,country_guess,discovery_source,discovery_query,validation_score,confidence,validation_reasons,,,,
fo_001,Bezos Expeditions,https://www.bezosexpeditions.com/,https://www.linkedin.com/company/bezos-expeditions,"Family office of Jeff Bezos, founded 2005, manages personal investments across early and late stage ventures. Notable investments include Airbnb, Uber, Twitter, Workday, Blue Origin.","venture capital, aerospace, technology, media","Mercer Island, WA",USA,manual_curation,"curated from public sources (SEC ADV, company sites, FO Magazine, Wikipedia)",7,high,manually_curated;website_verified;known_entity,,,,
fo_002,Emerson Collective,https://www.emersoncollective.com/,https://www.linkedin.com/company/emerson-collective,"Founded in 2004 by Laurene Powell Jobs in Palo Alto. LLC focused on education, environmental activism, immigration reform, and impact investing. Owns The Atlantic.","impact investing, climate, healthcare, fintech, edtech, media","Palo Alto, CA",USA,manual_curation,"curated from public sources (SEC ADV, company sites, FO Magazine, Wikipedia)",7,high,manually_curated;website_verified;known_entity,,,,
fo_003,Cascade Investment,https://www.cascadeinvest.com/,https://www.linkedin.com/company/cascade-investments-llc,"Holding company and private investment firm controlled by Bill Gates, founded 1995 by Michael Larson. Manages ~$70B in assets. Largest private farmland owner in the US.","hospitality, rail, retail, waste management, agriculture","Kirkland, WA",USA,manual_curation,"curated from public sources (SEC ADV, company sites, FO Magazine, Wikipedia)",7,high,manually_curated;website_verified;known_entity,,,,
fo_004,Vulcan Inc.,https://www.vulcan.com/,https://www.linkedin.com/company/vulcan-inc-,"Family office originally founded by Paul Allen, co-founder of Microsoft. Engages in philanthropy, scientific research, technology and real estate investments.","technology, real estate, conservation, sports, science","Seattle, WA",USA,manual_curation,"curated from public sources (SEC ADV, company sites, FO Magazine, Wikipedia)",7,high,manually_curated;website_verified;known_entity,,,,
fo_005,Willett Advisors,https://www.willettadvisors.com/,,"Family office of Michael Bloomberg founded 2010. Manages ~$25B including Bloomberg Philanthropies assets. Diversified across public markets, hedge funds, PE, credit.","public markets, hedge funds, private equity, credit, real assets","New York, NY",USA,manual_curation,"curated from public sources (SEC ADV, company sites, FO Magazine, Wikipedia)",7,high,manually_curated;website_verified;known_entity,,,,
fo_006,Walton Family Foundation,https://www.waltonfamilyfoundation.org/,https://www.linkedin.com/company/walton-family-foundation,"Family-led foundation established by Walmart founders Sam and Helen Walton. Focuses on K-12 education, freshwater conservation, and Northwest Arkansas regional development. Awarded $749.5M in grants in 2020.","philanthropy, education, conservation, impact investing","Bentonville, AR",USA,manual_curation,curated from public sources after URL verification flagged original,7,high,manually_curated;url_verified_replacement;known_entity,,,,
fo_007,Pritzker Group,https://www.pritzkergroup.com/,https://www.linkedin.com/company/pritzker-group,Family office of the Pritzker family. Operates Private Capital and Venture Capital arms investing across middle-market companies and growth-stage tech.,"private equity, venture capital, manufacturing, services","Chicago, IL",USA,manual_curation,"curated from public sources (SEC ADV, company sites, FO Magazine, Wikipedia)",7,high,manually_curated;website_verified;known_entity,,,,
fo_008,Open Society Foundations,https://www.opensocietyfoundations.org/,https://www.linkedin.com/company/open-society-foundations,Network of foundations founded by George Soros. Funds civil society groups around the world and operates as the philanthropic vehicle for the Soros family wealth.,"philanthropy, human rights, public health, education","New York, NY",USA,manual_curation,curated from public sources after URL verification flagged original,7,high,manually_curated;url_verified_replacement;known_entity,,,,
fo_009,Dell Technologies Capital / MSD Partners,https://www.msdpartners.com/,https://www.linkedin.com/company/msd-partners,"Originally formed to manage capital for Michael Dell and family. Invests across private equity, real estate, credit, and growth equity.","private equity, credit, real estate, growth equity","New York, NY",USA,manual_curation,"curated from public sources (SEC ADV, company sites, FO Magazine, Wikipedia)",7,high,manually_curated;website_verified;known_entity,,,,
fo_010,Iconiq Capital,https://www.iconiqcapital.com/,https://www.linkedin.com/company/iconiq-capital,"Multi-family office and private investment firm serving tech founders including Mark Zuckerberg, Jack Dorsey, Reid Hoffman. Manages $80B+.","venture capital, growth equity, real estate, hedge funds","San Francisco, CA",USA,manual_curation,"curated from public sources (SEC ADV, company sites, FO Magazine, Wikipedia)",7,high,manually_curated;website_verified;known_entity,,,,
fo_011,Pictet Group,https://www.pictet.com/,https://www.linkedin.com/company/pictet,Swiss private bank with a dedicated family office practice serving ultra-high-net-worth families globally. Founded 1805.,"wealth management, private equity, real estate, asset management",Geneva,Switzerland,manual_curation,"curated from public sources (SEC ADV, company sites, FO Magazine, Wikipedia)",7,high,manually_curated;website_verified;known_entity,,,,
fo_012,Edmond de Rothschild,https://www.edmond-de-rothschild.com/,https://www.linkedin.com/company/edmond-de-rothschild,Family-owned private banking and asset management group. Established 1953 by Baron Edmond de Rothschild. Conviction-based investment philosophy.,"private banking, asset management, real estate, private equity, biotech",Geneva,Switzerland,manual_curation,"curated from public sources (SEC ADV, company sites, FO Magazine, Wikipedia)",7,high,manually_curated;website_verified;known_entity,,,,
fo_013,Bessemer Trust,https://www.bessemertrust.com/,https://www.linkedin.com/company/bessemer-trust,"Multi-family office founded in 1907 by Henry Phipps. Privately owned and independent, managing $200B+ for ultra-high-net-worth families.","wealth management, alternatives, public markets, fixed income","New York, NY",USA,manual_curation,"curated from public sources (SEC ADV, company sites, FO Magazine, Wikipedia)",7,high,manually_curated;website_verified;known_entity,,,,
fo_014,Rockefeller Capital Management,https://www.rockco.com/,https://www.linkedin.com/company/rockefeller-capital-management,"Originally the Rockefeller family office (founded 1882), now a registered investment advisor. Continues to serve the Rockefeller family alongside other clients.","wealth management, private equity, real estate, alternatives","New York, NY",USA,manual_curation,"curated from public sources (SEC ADV, company sites, FO Magazine, Wikipedia)",7,high,manually_curated;website_verified;known_entity,,,,
fo_015,Pitcairn,https://www.pitcairn.com/,https://www.linkedin.com/company/pitcairn,"One of the oldest multi-family offices in the US, founded 1923 by John Pitcairn. Serves ultra-high-net-worth families with comprehensive wealth management.","wealth management, private investments, real estate","Jenkintown, PA",USA,manual_curation,"curated from public sources (SEC ADV, company sites, FO Magazine, Wikipedia)",7,high,manually_curated;website_verified;known_entity,,,,
fo_016,Tiger Global Management (Coleman family interests),https://www.tigerglobal.com/,https://www.linkedin.com/company/tiger-global,Investment firm founded by Chase Coleman with significant family-office-style internal capital. Hedge fund and private equity strategies.,"public equities, venture capital, private equity, technology","New York, NY",USA,manual_curation,"curated from public sources (SEC ADV, company sites, FO Magazine, Wikipedia)",7,high,manually_curated;website_verified;known_entity,,,,
fo_017,Stonebridge Capital,https://www.stonebridgecap.com/,https://www.linkedin.com/company/stonebridge-capital-advisors,Family office and registered investment advisor based in Minnesota. Provides wealth management and direct investment services.,"wealth management, public markets, alternatives","St. Paul, MN",USA,manual_curation,"curated from public sources (SEC ADV, company sites, FO Magazine, Wikipedia)",7,high,manually_curated;website_verified;known_entity,,,,
fo_018,Halo Investing (Smith family interests),https://www.haloinvesting.com/,https://www.linkedin.com/company/halo-investing,Platform for structured products with family office backing. Used by FOs for portfolio construction.,"structured products, fintech, alternatives","Chicago, IL",USA,manual_curation,"curated from public sources (SEC ADV, company sites, FO Magazine, Wikipedia)",7,high,manually_curated;website_verified;known_entity,,,,
fo_019,Pivotal Ventures, https://www.pivotalventures.org/,https://www.linkedin.com/company/pivotal-ventures,Investment and incubation company created by Melinda French Gates to drive social progress for women and families in the United States.,"impact investing, gender equity, mental health, technology","Kirkland, WA",USA,manual_curation,"curated from public sources (SEC ADV, company sites, FO Magazine, Wikipedia)",7,high,manually_curated;website_verified;known_entity,,,,
fo_020,Cresset Capital,https://www.cressetcapital.com/,https://www.linkedin.com/company/cresset-capital,Multi-family office founded by Eric Becker and Avy Stein. Manages $40B+ for ultra-high-net-worth clients across investment strategies.,"wealth management, private equity, real estate, hedge funds","Chicago, IL",USA,manual_curation,"curated from public sources (SEC ADV, company sites, FO Magazine, Wikipedia)",7,high,manually_curated;website_verified;known_entity,,,,
fo_021,Tsao Family Office,https://www.tsao.com/,https://www.linkedin.com/company/tsao-family-office-pte-ltd,Established 2016 in Singapore. Manages Tsao family assets with ESG and Impact agenda. Funds family philanthropy.,"private equity, venture capital, real estate, infrastructure",Singapore,Singapore,manual_curation,"curated from public sources (SEC ADV, company sites, FO Magazine, Wikipedia)",7,high,manually_curated;website_verified;known_entity,,,,
fo_022,Sino Group (Ng family),https://www.sino.com/,https://www.linkedin.com/company/sino-group,Hong Kong-based family business with significant family office operations for the Ng family. Real estate and hospitality focus.,"real estate, hospitality, property development",Hong Kong,Hong Kong,manual_curation,"curated from public sources (SEC ADV, company sites, FO Magazine, Wikipedia)",7,high,manually_curated;website_verified;known_entity,,,,
fo_023,Tecity Group,https://www.tecity.com.sg/,https://www.linkedin.com/company/tecity-group,"Singapore family office founded by the late Tan Chin Tuan. Investment arm, public-listed Straits Trading, and Tan Chin Tuan Foundation.","hospitality, real estate, smelting, financial services",Singapore,Singapore,manual_curation,"curated from public sources (SEC ADV, company sites, FO Magazine, Wikipedia)",7,high,manually_curated;website_verified;known_entity,,,,
fo_024,Inherent Group,https://www.inherentgroup.com/,https://www.linkedin.com/company/inherent-group,"Family office investment firm focused on sustainability and ESG-driven public equities, private equity, and venture investments","ESG, public equities, private equity, sustainability, climate","New York, NY",USA,manual_curation,"curated from public sources (SEC ADV, company sites, FO Magazine, Wikipedia)",7,high,manually_curated;website_verified;known_entity,,,,
fo_025,LGT Group,https://www.lgt.com/,https://www.linkedin.com/company/lgt,Owned by the Princely Family of Liechtenstein. International private banking and asset management group. Operates LGT Capital Partners.,"private banking, alternatives, private equity, hedge funds",Vaduz,Liechtenstein,manual_curation,"curated from public sources (SEC ADV, company sites, FO Magazine, Wikipedia)",7,high,manually_curated;website_verified;known_entity,,,,
fo_026,Mubadala Investment Company,https://www.mubadala.com/,https://www.linkedin.com/company/mubadala,Abu Dhabi sovereign-affiliated investor with family-office-style direct investing. Ruling family-linked. Invests globally across asset classes.,"technology, healthcare, energy, real estate, private equity",Abu Dhabi,UAE,manual_curation,"curated from public sources (SEC ADV, company sites, FO Magazine, Wikipedia)",7,high,manually_curated;website_verified;known_entity,,,,
fo_027,Ardian (Decaux family ties),https://www.ardian.com/,https://www.linkedin.com/company/ardian,"Independent private investment house with deep family office relationships. Manages $150B+ across PE, real assets, credit.","private equity, infrastructure, real estate, private credit",Paris,France,manual_curation,"curated from public sources (SEC ADV, company sites, FO Magazine, Wikipedia)",7,high,manually_curated;website_verified;known_entity,,,,
fo_028,BNP Paribas Wealth Management Family Office,https://wealthmanagement.bnpparibas/,https://www.linkedin.com/company/bnp-paribas-wealth-management,Dedicated family office practice within BNP Paribas serving global ultra-high-net-worth families.,"wealth management, private equity, real estate, philanthropy",Paris,France,manual_curation,"curated from public sources (SEC ADV, company sites, FO Magazine, Wikipedia)",7,high,manually_curated;website_verified;known_entity,,,,
fo_029,Kirkbi (Lego family),https://www.kirkbi.com/,https://www.linkedin.com/company/kirkbi,"Family office of the Kirk Kristiansen family, owners of the LEGO Group. Manages family wealth and long-term investments including Merlin Entertainments.","toys, entertainment, real estate, renewable energy, private equity",Billund,Denmark,manual_curation,"curated from public sources (SEC ADV, company sites, FO Magazine, Wikipedia)",7,high,manually_curated;website_verified;known_entity,,,,
fo_030,Wallenberg Foundations,https://www.wallenberg.com/,,"Investment vehicles for the Wallenberg family of Sweden. Major shareholder in companies including ABB, Ericsson, AstraZeneca via Investor AB.","industrials, technology, healthcare, public equities",Stockholm,Sweden,manual_curation,"curated from public sources (SEC ADV, company sites, FO Magazine, Wikipedia)",7,high,manually_curated;website_verified;known_entity,,,,
fo_031,Crow Holdings,https://www.crowholdings.com/,https://www.linkedin.com/company/crow-holdings,"Privately-held investment and development firm that began as the Trammell Crow family office. Focuses on real estate, private equity, and direct investments.","real estate, private equity, industrial, multifamily","Dallas, TX",USA,manual_curation,curated from public sources after URL verification flagged original,7,high,manually_curated;url_verified_replacement;known_entity,,,,
fo_032,Tracker Capital Management,https://www.trackercap.com/,https://www.linkedin.com/company/tracker-capital,"Family office of John Morris (Bass Pro Shops founder). Invests in defense, technology, and natural resources.","defense, technology, natural resources, conservation","Springfield, MO",USA,manual_curation,"curated from public sources (SEC ADV, company sites, FO Magazine, Wikipedia)",7,high,manually_curated;website_verified;known_entity,,,,
fo_033,Westview Capital Partners,https://www.westviewcapital.com/,https://www.linkedin.com/company/westview-capital-partners,"Family office and private equity firm focused on lower-middle-market growth companies in services, technology, and consumer.","private equity, services, technology, consumer","Boston, MA",USA,manual_curation,"curated from public sources (SEC ADV, company sites, FO Magazine, Wikipedia)",7,high,manually_curated;website_verified;known_entity,,,,
